2020-09-21 15:40:34.193 INFO  org.yh.ssoclient.config.MyFilter - filter#请求url: /limit
2020-09-21 15:41:19.456 INFO  org.yh.ssoclient.config.MyFilter - filter#请求url: /login
2020-09-21 15:42:15.491 INFO  org.yh.ssoclient.SsoClientApplication - Starting SsoClientApplication on LAPTOP-0LUR7ABV with PID 15052 (D:\idea_workspace\sso\sso-client\target\classes started by teagm in D:\idea_workspace\sso\sso-client)
2020-09-21 15:42:15.501 INFO  org.yh.ssoclient.SsoClientApplication - No active profile set, falling back to default profiles: default
2020-09-21 15:42:16.951 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-09-21 15:42:16.970 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-09-21 15:42:16.971 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-21 15:42:16.971 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-21 15:42:17.059 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-21 15:42:17.059 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1457 ms
2020-09-21 15:42:17.411 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-21 15:42:17.575 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-09-21 15:42:17.593 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-09-21 15:42:17.627 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-09-21 15:42:17.659 INFO  org.yh.ssoclient.SsoClientApplication - Started SsoClientApplication in 2.502 seconds (JVM running for 5.481)
2020-09-21 15:42:24.683 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-21 15:42:24.683 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-09-21 15:42:24.691 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2020-09-21 15:42:24.697 INFO  org.yh.ssoclient.config.MyFilter - filter#请求url: /login
2020-09-21 15:42:24.716 INFO  org.yh.ssoclient.annotation.UserArgumentResolver - resolver# method 'login' parameter 0
2020-09-21 15:42:24.737 INFO  org.yh.ssoclient.annotation.AccessInterceptor - interceptor#contextPath: 
2020-09-21 15:46:39.714 INFO  org.yh.ssoclient.config.MyFilter - filter#请求url: /limit
2020-09-21 15:46:42.765 INFO  org.yh.ssoclient.annotation.AccessInterceptor - interceptor#contextPath: 
